PC_CODE,COMMODITY,STATE,Country,UNIT,Quantity,Trade_Value_USD,,,
A1,TEA,ASSAM,THAILAND,KGS,128,15723,,,
A1,TEA,ASSAM,TOGO,KGS,172105,885604,,,
A1,TEA,ASSAM,TUNISIA,KGS,1661544,2591251,,,
A1,TEA,ASSAM,TURKEY,KGS,3547711,12360919,,,
A1,TEA,ASSAM,U ARAB EMTS,KGS,12569834,46771272,,,
A1,TEA,ASSAM,U K,KGS,9616511,41867791,,,
A1,TEA,ASSAM,U S A,KGS,2883709,14210265,,,
A1,TEA,ASSAM,UKRAINE,KGS,389252,1328496,,,
A1,TEA,ASSAM,UNSPECIFIED,KGS,8180,33265,,,
A1,TEA,ASSAM,UZBEKISTAN,KGS,89920,183384,,,
A1,TEA,BIHAR,AUSTRALIA,KGS,1000,14237,,,
A1,TEA,BIHAR,COSTA RICA,KGS,2075,14968,,,
A1,TEA,BIHAR,JORDAN,KGS,13075,83293,,,
A1,TEA,BIHAR,MALAYSIA,KGS,10900,64482,,,
A1,TEA,BIHAR,U ARAB EMTS,KGS,1700,17798,,,
A1,TEA,CHANDIGARH,JAPAN,KGS,123,1439,,,
A1,TEA,"DADRA,NH,DAMAN,DIU",BELGIUM,KGS,25,2452,,,
A1,TEA,"DADRA,NH,DAMAN,DIU",NETHERLAND,KGS,0,1,,,
A1,TEA,"DADRA,NH,DAMAN,DIU",NEW ZEALAND,KGS,132,958,,,
A1,TEA,"DADRA,NH,DAMAN,DIU",SINGAPORE,KGS,677,5304,,,
A1,TEA,"DADRA,NH,DAMAN,DIU",U S A,KGS,0,1,,,
A1,TEA,DELHI,AUSTRALIA,KGS,145027,842091,,,
A1,TEA,DELHI,AUSTRIA,KGS,672,3486,,,
A1,TEA,DELHI,AZERBAIJAN,KGS,182,6449,,,
A1,TEA,DELHI,BAHARAIN IS,KGS,15318,59546,,,
A1,TEA,DELHI,CANADA,KGS,176274,1378116,,,
A1,TEA,DELHI,CHINA P RP,KGS,120,752,,,
A1,TEA,DELHI,CONGO P REP,KGS,510,4207,,,
A1,TEA,DELHI,CROATIA,KGS,100,2512,,,
A1,TEA,DELHI,CZECH REPUBLIC,KGS,2703,18611,,,
